,A,AES,ADBE,AET,ACE,AGN,AME,AAPL,AIV,AN,ACN,BAX,BK,AXP,AMAT,AEE,BAC,AIG,ADSK,BCR,ALLE,AVGO,AZO,AON,AIZ,GAS,AMG,BMS,BBBY,AMP,AMT,AFL,BHI,ADT,ABC,AA,ADS,ADP,AEP,BBT,AMGN,ABBV,ABT,ALXN,AMZN,ADM,BDX,ADI,AKAM,ALL,AVY,BLL,MO,MMM,APH,AVB,ARG,APC,APA,ALTR,APD,T
A,1.0,0.662304626255,0.580866006082,0.801679832765,0.941070945617,0.76887783002,0.938564995912,0.906716340352,0.700502996236,0.83387503235,0.842336440473,0.832929938916,0.932556634781,0.939917230109,0.804016917378,0.690365940856,0.929898015032,0.920922317308,0.738074829997,0.730557078177,0.878078037214,0.883957724034,0.794458575639,0.917545977752,0.849337256836,0.87093786531,0.886744588149,0.878587679129,0.709079637857,0.881551799484,0.880270531405,0.911485349701,0.552203906004,0.761341565994,0.707408474097,0.476570605503,0.921952989596,0.870997271523,0.867276614883,0.855898925438,0.84001383449,0.863787158496,0.876879542487,0.783742742842,0.846360484292,0.897452905212,0.862794188667,0.790554969204,0.764885515543,0.908984788173,0.890138609747,0.800323213095,0.867191356603,0.931612665714,0.81262855666,0.703995984925,0.755520835576,0.774601856539,0.501844425115,0.811770509141,0.806070204291,0.945707771251
AES,0.662304626255,1.0,0.449091727721,0.612658494359,0.735583011724,0.73517011175,0.756221610461,0.708720042717,0.479147794702,0.59792177455,0.582608122723,0.706839315419,0.673254729377,0.716199568891,0.714904028552,0.677511996545,0.682270931259,0.672486949231,0.784461290847,0.665993478334,0.682625962248,0.619175875115,0.709746059868,0.719054168941,0.528110687497,0.690265238763,0.67184168711,0.744552658299,0.285906503026,0.657235870436,0.65359253245,0.682207142065,0.386230072643,0.695621869567,0.55473825413,0.525503855239,0.669939325435,0.646354070367,0.761099163663,0.710089498532,0.641864747564,0.668187187891,0.699321982314,0.576531808333,0.609179226425,0.650023874156,0.665698121737,0.536355602235,0.613397515114,0.637211607228,0.659006262023,0.601844966596,0.540458881654,0.595297276884,0.583028658249,0.457030026547,0.629390229213,0.576843563527,0.374375610901,0.626318297478,0.538686616011,0.726612515321
ADBE,0.580866006082,0.449091727721,1.0,0.600356596694,0.656400879444,0.5740783033,0.541823237202,0.629138798101,0.488605416922,0.570123942757,0.819794502025,0.602181864738,0.597909320911,0.595774830058,0.605943203598,0.305649363116,0.544120589499,0.647233075208,0.557402920186,0.333242612211,0.597005970103,0.520594198565,0.61304157469,0.717093072864,0.517324864304,0.60696072975,0.63325668901,0.493343129374,0.629266143631,0.648181484587,0.541061031061,0.638543678001,0.345680267195,0.586631818406,0.441682228927,0.279370894576,0.552723104421,0.633539392558,0.623490049609,0.509480751859,0.635048646667,0.725896703323,0.588042413794,0.42118963222,0.658463307115,0.626533596085,0.452906505204,0.48144868324,0.70006154829,0.67506406159,0.599478263493,0.620126895539,0.687795717299,0.622075471102,0.582263653668,0.612926413783,0.399870969959,0.598256213433,0.275801182149,0.54403211253,0.66667637786,0.639787660205
AET,0.801679832765,0.612658494359,0.600356596694,1.0,0.888874490207,0.818001844446,0.725311879256,0.952563302372,0.752939429566,0.9087470936,0.868217572734,0.93263592984,0.874831353272,0.831721325662,0.878923178826,0.523661382039,0.760655842577,0.885956711049,0.736298816329,0.52296353731,0.897537233439,0.89943556224,0.826039320546,0.758734317339,0.915303821469,0.948484643914,0.910701898823,0.744890353818,0.603226138152,0.967552090887,0.741177177576,0.9569966071,0.717880735079,0.780809277799,0.845732193153,0.418501547278,0.733974737156,0.977691538377,0.826455135985,0.663058868048,0.901104407946,0.953123200082,0.806551961581,0.786418958563,0.829843907979,0.732527435813,0.767937236947,0.5441327865,0.738773870138,0.923117435955,0.94779301308,0.951873862771,0.921425935664,0.803976819312,0.943704345071,0.576004986979,0.468709872993,0.888063826556,0.38495639365,0.884484440062,0.921500201568,0.879204869675
ACE,0.941070945617,0.735583011724,0.656400879444,0.888874490207,1.0,0.851742147494,0.91571045905,0.94974632902,0.790774627179,0.879601911191,0.914576134824,0.911050606833,0.943183197268,0.947862426848,0.874770547038,0.688685253115,0.892471952115,0.965510867609,0.882709421085,0.666033316851,0.92353227469,0.90545349587,0.858084936363,0.942281879565,0.874766699671,0.950601640013,0.928153577345,0.872358299587,0.721848095343,0.944177589549,0.895864759326,0.96459689258,0.662135665916,0.871605079149,0.754856991979,0.625415406231,0.895162497704,0.946610614071,0.911300288719,0.810338232498,0.90586377128,0.93595319601,0.915436202057,0.770455448616,0.857513393806,0.882999427533,0.818294316779,0.757656551919,0.825931680637,0.967595482204,0.94258457422,0.90107092786,0.92320178283,0.934354926221,0.899516391159,0.691605754612,0.720957708888,0.874126756076,0.52879844146,0.877484862466,0.87680308102,0.968760257313
AGN,0.76887783002,0.73517011175,0.5740783033,0.818001844446,0.851742147494,1.0,0.714492554631,0.82501912148,0.754534407235,0.828287824661,0.760269708101,0.873345474449,0.831654304385,0.848163697337,0.856898343167,0.655955387641,0.782701827883,0.83166016085,0.695926932764,0.633217764183,0.828975802386,0.738462336211,0.782920505076,0.781544831444,0.764851880595,0.876231011937,0.792985111563,0.772031189877,0.471564220577,0.830503500259,0.72598170367,0.842626027724,0.558162105267,0.791970736608,0.790660123862,0.419362543935,0.815357010661,0.834321767888,0.786963280452,0.728781870919,0.889193441872,0.843632857311,0.857144916638,0.801854456259,0.771182858437,0.741203836233,0.743004634621,0.63200708736,0.686870336837,0.845952436072,0.873203312615,0.817028261537,0.785695337793,0.781310942369,0.788701453848,0.580489906335,0.598844622963,0.732060729375,0.339232933052,0.802910989253,0.773748994662,0.829118330688
AME,0.938564995912,0.756221610461,0.541823237202,0.725311879256,0.91571045905,0.714492554631,1.0,0.857785854438,0.67383830405,0.78229598432,0.785949851344,0.770599679132,0.904453099057,0.920831021727,0.768111642206,0.756726576075,0.891961305307,0.893854925664,0.797641495978,0.776803834158,0.855393833119,0.826809953999,0.829238422639,0.927582366245,0.741817286292,0.821496433664,0.809805812252,0.893487556018,0.66884289365,0.805067549911,0.893317197619,0.853338142843,0.523585431134,0.789431417197,0.628822142657,0.598291197225,0.907586087808,0.806485444581,0.887121160848,0.869554846033,0.773017819686,0.785991285802,0.886520278889,0.651454648779,0.834027775729,0.854114391037,0.804047933006,0.812296767003,0.77027617638,0.845388878111,0.823049647984,0.71728800488,0.777450337391,0.894171342221,0.734335829557,0.712510021943,0.805794976346,0.73319066644,0.561101009562,0.750276182559,0.712812192427,0.92047658831
AAPL,0.906716340352,0.708720042717,0.629138798101,0.952563302372,0.94974632902,0.82501912148,0.857785854438,1.0,0.776705698735,0.896027499097,0.915204528013,0.945652321497,0.950716767136,0.922392544912,0.908582653401,0.649237205796,0.886887631992,0.956061782804,0.789939434821,0.698905618688,0.948563898805,0.951464359074,0.859431535125,0.873919730603,0.936153791634,0.958713916042,0.940729058845,0.826218887922,0.671168450403,0.978910111163,0.831873879359,0.985245704122,0.673173288169,0.834373140453,0.839181370945,0.488796908089,0.844926461817,0.977432994297,0.888351147054,0.814630987687,0.901979040649,0.942477778259,0.889537741988,0.782390427566,0.899357588904,0.855553620542,0.86625341933,0.687359049348,0.846861508059,0.963974839549,0.954326407851,0.920829905316,0.936366750354,0.902791272634,0.948125996923,0.663156661823,0.599795235483,0.872599112118,0.453830614733,0.918673752723,0.914875553492,0.956155616355
AIV,0.700502996236,0.479147794702,0.488605416922,0.752939429566,0.790774627179,0.754534407235,0.67383830405,0.776705698735,1.0,0.77128659595,0.780083481579,0.689879590071,0.78743742465,0.807974927401,0.688503961616,0.72445931603,0.703502139146,0.753145308358,0.613623591774,0.579968312711,0.734730325789,0.725827766578,0.681249275834,0.778081047225,0.75754306473,0.804351127684,0.711736931048,0.657454151325,0.630937981961,0.776474429579,0.748860866563,0.813567320905,0.574085263546,0.62111715386,0.805637273353,0.476459183535,0.736552810139,0.784393674493,0.722357505022,0.701530310152,0.712395892721,0.770362153796,0.820192836789,0.585306023076,0.665738655973,0.73165121089,0.688947096109,0.455626591851,0.583791035888,0.811420114938,0.785432714483,0.684675222236,0.788700389556,0.777139493463,0.714541577951,0.830233373089,0.579517599708,0.747061076272,0.456641263272,0.668612014703,0.710294310028,0.756208591226
AN,0.83387503235,0.59792177455,0.570123942757,0.9087470936,0.879601911191,0.828287824661,0.78229598432,0.896027499097,0.77128659595,1.0,0.809898476167,0.887113269552,0.917535160315,0.90276484853,0.840767466845,0.726904253807,0.871427482021,0.890558644576,0.715092686443,0.600016336648,0.887250304287,0.829756581855,0.795330100667,0.803262284716,0.857716310546,0.907740553663,0.868872963572,0.780477398163,0.603559233412,0.92293178191,0.857035719792,0.925391584401,0.665466990602,0.777586560637,0.804668296467,0.509401992107,0.805555131807,0.917673389873,0.916317206889,0.782458507293,0.912228969513,0.898065616522,0.87581421967,0.741493057304,0.890172673072,0.790469172864,0.782392164242,0.552908611953,0.699747481423,0.893076046253,0.927761843236,0.865970831008,0.875446342955,0.838809755115,0.864750625401,0.702735138017,0.648231494117,0.859007626269,0.489132819477,0.832331980405,0.920338317287,0.921446868785
ACN,0.842336440473,0.582608122723,0.819794502025,0.868217572734,0.914576134824,0.760269708101,0.785949851344,0.915204528013,0.780083481579,0.809898476167,1.0,0.845933910977,0.874902554051,0.874436587874,0.853595110248,0.560958792616,0.799331854175,0.917490727763,0.758614374825,0.544638933852,0.867412834853,0.856359721767,0.824997449514,0.892450193673,0.870898209473,0.886208498315,0.880736100481,0.788616147251,0.745200800482,0.919216565269,0.785801703519,0.920796450964,0.625034875089,0.783893468486,0.721800391951,0.450227924962,0.802922305099,0.925172754143,0.817664564229,0.737956110033,0.837197662038,0.918991397091,0.829615986739,0.64532473852,0.854632060595,0.838992481144,0.708229959581,0.64148394166,0.840868125714,0.942162381559,0.891077337635,0.876845572036,0.947695819273,0.880718327871,0.883452686186,0.707082143437,0.568637570787,0.813985388955,0.401072618608,0.831023714498,0.886083555131,0.897384083605
BAX,0.832929938916,0.706839315419,0.602181864738,0.93263592984,0.911050606833,0.873345474449,0.770599679132,0.945652321497,0.689879590071,0.887113269552,0.845933910977,1.0,0.894620033274,0.87007062912,0.936617739994,0.554116548742,0.849317818507,0.93023572292,0.77385921261,0.672168474506,0.91455493732,0.914497587907,0.866592530447,0.784148101372,0.898941928758,0.922427251223,0.89928078795,0.754418562687,0.573313142593,0.948372291802,0.801741409125,0.94855454531,0.738531908267,0.868621675143,0.805563196687,0.537749999862,0.809871778789,0.939009897973,0.834432356162,0.732120996926,0.926611347015,0.90688239669,0.864907991194,0.810241441458,0.866943060522,0.827905763758,0.840688779445,0.666167215206,0.819901985038,0.924914792595,0.920116125564,0.930889568243,0.893899000152,0.870428396061,0.960693493354,0.53625023302,0.517649484105,0.862857313731,0.430804144738,0.92911631101,0.923685168175,0.923594478231
BK,0.932556634781,0.673254729377,0.597909320911,0.874831353272,0.943183197268,0.831654304385,0.904453099057,0.950716767136,0.78743742465,0.917535160315,0.874902554051,0.894620033274,1.0,0.952686020396,0.88293609369,0.747928643369,0.95517315108,0.954018831982,0.75731816219,0.720583520411,0.945460344011,0.888063031217,0.854439996474,0.898048613169,0.902020798903,0.9203664082,0.906123460968,0.850894089911,0.717520762356,0.936927351155,0.915088587896,0.956694443331,0.60357639298,0.856744419794,0.773590973913,0.517080006897,0.929485780651,0.928691509077,0.942807239385,0.898437774853,0.880292913766,0.88573037849,0.932400899482,0.714301866234,0.912522306836,0.892334044819,0.851343059151,0.762999660192,0.820140917915,0.958426518034,0.9292180153,0.862843598305,0.902710235175,0.936481789738,0.883700850218,0.738130524829,0.742326577484,0.812602146292,0.457292061314,0.859899154186,0.892801841543,0.976923769709
AXP,0.939917230109,0.716199568891,0.595774830058,0.831721325662,0.947862426848,0.848163697337,0.920831021727,0.922392544912,0.807974927401,0.90276484853,0.874436587874,0.87007062912,0.952686020396,1.0,0.867628536257,0.799949345734,0.945338641799,0.941492851688,0.774700433091,0.77154081674,0.938566176179,0.881099291664,0.84572815086,0.937710943816,0.865996186724,0.911006793378,0.891620857507,0.917801008995,0.64351553413,0.899996308022,0.91275889351,0.933295953003,0.615226490879,0.819984557454,0.764911225448,0.57344499392,0.924872845988,0.901960400147,0.913092234932,0.906515811846,0.862240836029,0.868216519009,0.935316072869,0.710434053061,0.882838450611,0.918856015842,0.848913817309,0.706507602215,0.809927702325,0.925243185686,0.932443457507,0.832035117373,0.891640961759,0.917921114913,0.831257581762,0.744371060154,0.783686872302,0.818688696843,0.539768332423,0.83685072991,0.831185085679,0.966847103011
AMAT,0.804016917378,0.714904028552,0.605943203598,0.878923178826,0.874770547038,0.856898343167,0.768111642206,0.908582653401,0.688503961616,0.840767466845,0.853595110248,0.936617739994,0.88293609369,0.867628536257,1.0,0.607061721203,0.81241347559,0.893900147372,0.746197385702,0.662366166135,0.887027353102,0.876878589542,0.86963124197,0.784885743055,0.876448934687,0.887524248743,0.83603497238,0.813046105363,0.544158429305,0.895554405687,0.780285466626,0.911646466815,0.780607905885,0.899483732781,0.781266922218,0.431165635498,0.806016617723,0.901318999277,0.820650584056,0.762270955643,0.887127381867,0.865318340269,0.86416389709,0.712645885749,0.843011385081,0.842559122437,0.779096436203,0.648188982546,0.80444231229,0.900205430297,0.915231736902,0.857000340014,0.836279222099,0.821243133819,0.910187619534,0.542453269347,0.604071105496,0.817658178014,0.420388686839,0.869406815842,0.890641923975,0.889650959221
AEE,0.690365940856,0.677511996545,0.305649363116,0.523661382039,0.688685253115,0.655955387641,0.756726576075,0.649237205796,0.72445931603,0.726904253807,0.560958792616,0.554116548742,0.747928643369,0.799949345734,0.607061721203,1.0,0.792010481983,0.662320365022,0.611203885349,0.690467346127,0.635313080087,0.569534420188,0.571793419986,0.754349726057,0.570585616978,0.650844926299,0.586462565085,0.729428290122,0.372283056435,0.615934735436,0.761490504636,0.650550652748,0.392646820831,0.572824356244,0.646946165818,0.477143701333,0.727463772932,0.595902145341,0.805086691529,0.867707767382,0.617400288785,0.578550966707,0.794609803167,0.49221732543,0.679128683639,0.714214858637,0.688127050371,0.499287140975,0.478603383979,0.618231116648,0.66257741007,0.463075618956,0.540481298996,0.675261800127,0.519883706583,0.766803463214,0.788084943773,0.576730128442,0.547275568458,0.548938035773,0.575608488499,0.735409169703
BAC,0.929898015032,0.682270931259,0.544120589499,0.760655842577,0.892471952115,0.782701827883,0.891961305307,0.886887631992,0.703502139146,0.871427482021,0.799331854175,0.849317818507,0.95517315108,0.945338641799,0.81241347559,0.792010481983,1.0,0.91212007662,0.699547208509,0.793095151146,0.888691160413,0.842353134644,0.775938207652,0.878912163446,0.8487884979,0.831743760734,0.85113159366,0.829382593504,0.63253246862,0.863133931651,0.904714501593,0.88573353772,0.498177178303,0.771904078542,0.696236427811,0.529361359326,0.929466914211,0.837164643044,0.911447734798,0.935236576505,0.813830464267,0.797569075162,0.898413211039,0.691049290724,0.895850452469,0.905554337673,0.874383365132,0.753122042287,0.774669092473,0.883198882853,0.848033659005,0.773901226432,0.839990890095,0.925154338258,0.806985587711,0.720575307076,0.750425758011,0.718646318082,0.448912116748,0.811667323884,0.827726887633,0.95724977946
AIG,0.920922317308,0.672486949231,0.647233075208,0.885956711049,0.965510867609,0.83166016085,0.893854925664,0.956061782804,0.753145308358,0.890558644576,0.917490727763,0.93023572292,0.954018831982,0.941492851688,0.893900147372,0.662320365022,0.91212007662,1.0,0.803107377937,0.6887130369,0.939636198718,0.924978038863,0.891871456436,0.905532733316,0.891534123955,0.942028958306,0.926085975734,0.85046411834,0.746918334933,0.949943287911,0.890732905221,0.957020641587,0.669766324115,0.880325339525,0.769146489077,0.569554296741,0.891373781694,0.950975397792,0.88776298688,0.806046103823,0.912685873111,0.908849242211,0.922296931287,0.767145891497,0.924067515373,0.872238305727,0.830681982747,0.786466177483,0.8693555773,0.969700866679,0.935281761207,0.911120987364,0.933527083146,0.949134562213,0.931819604461,0.665410734311,0.66641021063,0.836140851407,0.473336862829,0.939793125287,0.913426182838,0.977500572601
ADSK,0.738074829997,0.784461290847,0.557402920186,0.736298816329,0.882709421085,0.695926932764,0.797641495978,0.789939434821,0.613623591774,0.715092686443,0.758614374825,0.77385921261,0.75731816219,0.774700433091,0.746197385702,0.611203885349,0.699547208509,0.803107377937,1.0,0.502877782448,0.758795749031,0.71880486895,0.70683466993,0.83105216528,0.658657619636,0.8174040181,0.778845405171,0.747169905567,0.563393449227,0.789634810448,0.757809223978,0.805940233491,0.609632048005,0.848189298365,0.570922420609,0.77408592717,0.699447035162,0.794089591137,0.831869471668,0.634344076976,0.767579175233,0.793754976942,0.763812257188,0.562979735331,0.674210151412,0.711554468745,0.605008342646,0.592807098603,0.734519002723,0.795473852074,0.785750780521,0.756803153257,0.730926281977,0.729444217846,0.759529394069,0.490600399751,0.646104782837,0.810720665292,0.573403696504,0.732002246252,0.720281070433,0.810172552675
BCR,0.730557078177,0.665993478334,0.333242612211,0.52296353731,0.666033316851,0.633217764183,0.776803834158,0.698905618688,0.579968312711,0.600016336648,0.544638933852,0.672168474506,0.720583520411,0.77154081674,0.662366166135,0.690467346127,0.793095151146,0.6887130369,0.502877782448,1.0,0.705962900806,0.733492938028,0.625831183836,0.713340628563,0.62622959746,0.592025218647,0.574189317461,0.673628593254,0.383702675803,0.583539181624,0.667631384926,0.65867720338,0.408044109215,0.588359785264,0.578291152469,0.423250614356,0.736133190538,0.568340635848,0.640963470969,0.80784241551,0.60186893659,0.513318435388,0.731742079399,0.532055809887,0.705384987887,0.763029526659,0.840443167021,0.661507505364,0.665602772874,0.619654850104,0.599098023364,0.470451792539,0.556013918951,0.741571157302,0.575579222332,0.572394602037,0.548688451523,0.5423185235,0.475207292658,0.594593069761,0.518134133419,0.718279336724
