Cluster,Company_Cluster
1,1
2,1
3,1
4,1
5,2
6,1
7,3
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,1
17,2
18,1
19,1
20,1
21,1
22,1
23,10
24,1
25,1
26,2
27,1
28,1
29,1
30,1
31,1
32,2
33,1
34,4
35,4
36,1
37,27
38,1
39,1
40,2
41,1
42,11
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,22
55,1
56,1
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,23
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,9
81,1
82,1
83,1
84,2
85,1
86,1
87,1
88,10
89,1
90,1
91,4
92,1
93,1
94,3
95,1
96,3
97,5
98,1
99,1
100,1
101,1
102,1
103,24
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,2
123,1
124,1
125,1
126,1
127,7
128,1
129,1
130,1
131,1
132,1
133,1
134,10
135,1
136,2
137,3
138,1
139,1
140,4
141,1
142,1
143,1
144,1
145,1
146,2
147,6
148,3
149,1
150,1
151,1
152,1
153,8
154,1